INFO:root:completed -> 22171-50.pdf -> batchNum: 22171, batchSize: 50
INFO:root:completed -> 22172-25.pdf -> batchNum: 22172, batchSize: 25
INFO:root:completed -> 22173-41.pdf -> batchNum: 22173, batchSize: 41
INFO:root:completed -> 22174-15.pdf -> batchNum: 22174, batchSize: 15
INFO:root:completed -> 22175-50.pdf -> batchNum: 22175, batchSize: 50
INFO:root:completed -> 22176-85.pdf -> batchNum: 22176, batchSize: 85
INFO:root:completed -> 22177-10.pdf -> batchNum: 22177, batchSize: 10
INFO:root:completed -> 22178-25.pdf -> batchNum: 22178, batchSize: 25
INFO:root:completed -> 22179-40.pdf -> batchNum: 22179, batchSize: 40
INFO:root:completed -> 22180-70.pdf -> batchNum: 22180, batchSize: 70
INFO:root:completed -> 22181-21.pdf -> batchNum: 22181, batchSize: 21
INFO:root:completed -> 22182-100.pdf -> batchNum: 22182, batchSize: 100
INFO:root:completed -> 22183-76.pdf -> batchNum: 22183, batchSize: 76
INFO:root:completed -> 22184-50.pdf -> batchNum: 22184, batchSize: 50
INFO:root:completed -> 22185-50.pdf -> batchNum: 22185, batchSize: 50
INFO:root:completed -> 22186-12.pdf -> batchNum: 22186, batchSize: 12
INFO:root:completed -> 22187-50.pdf -> batchNum: 22187, batchSize: 50
INFO:root:completed -> 22188-50.pdf -> batchNum: 22188, batchSize: 50
INFO:root:completed -> 22189-15.pdf -> batchNum: 22189, batchSize: 15
INFO:root:completed -> 22190-1.pdf -> batchNum: 22190, batchSize: 1
INFO:root:completed -> 22191-1.pdf -> batchNum: 22191, batchSize: 1
INFO:root:completed -> 22192-1.pdf -> batchNum: 22192, batchSize: 1
INFO:root:completed -> 22193-1.pdf -> batchNum: 22193, batchSize: 1
INFO:root:completed -> 22194-1.pdf -> batchNum: 22194, batchSize: 1
INFO:root:completed -> 22195-3.pdf -> batchNum: 22195, batchSize: 3
INFO:root:completed -> 22196-3.pdf -> batchNum: 22196, batchSize: 3
INFO:root:completed -> 22197-1.pdf -> batchNum: 22197, batchSize: 1
INFO:root:completed -> 22198-1.pdf -> batchNum: 22198, batchSize: 1
